"site","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot"
"Jim_River",0,35.88,21.51,29.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.88
"Jim_River_2",0,34.69,20.8,28.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.69
"Kanuti",0,41.91,0,37.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.91
"Kokomo",43.27,0,0,0,0,0,0,39.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.27
"Left_Fork_Cache_Creek",41.81,0,57.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.81
"Little_Salcha",0,0,69.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,6.7
"LittleChena",39.3,0,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3
"Livengood",0,0,35.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,26.63,13.57,0,0,0,0
"Lost",0,0,41.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,0,0,0,0
"Mammoth",75.24,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.34
"Mckay",89.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.86
"McManus_Creek",99.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.72
"Montana",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Monument",53.92,0,16.18,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0,0,0,0,0,53.92
