"site","latitude","longitude","SampleID","date","year","doy","temp_str","spcond","DOC_uM","TDN_uM","Cl_uM","F_uM","NO3_uM","SO4_uM","NH4_uM","TDP_uM","Na_uM","K_uM","Mg_uM","Ca_uM","Br_uM","lat","lon","pH","SRP_uM","SUVA","CO2_uM","CH4_uM","NO2_uM","DON_uM","oxalate_uM","Lt_uM","DOCDON","DOCTDN","DOCDIN","project","ecoregion","type.x","Area_km2","SLOPE_MIN","SLOPE_MAX","SLOPE_MEAN","SLOPE_STD","GRIDCODE","Aspect_Azm","Aspect_Cls","aspect_lin","aspect_lin2","cburntot","fireyear_rct","pctburn_rct","areaburn_rct","fireyear_lg","pctburn_lg","areaburn_lg","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot","lat_new","long_new","type.y","orgsoil_extent","PADR_p25","PADR_p50","PADR_p75","TPI_p25","TPI_p50","TPI_p75","Pf_Prob_1m_mean_x","NDVI_p50__linear_trend__attr_.slope.","NDVI_p50__linear_trend__attr_.stderr.","NDVI_p50__sum_values","NDVI_p50__mean_abs_change","NDVI_p50__mean_change","NDVI_p50__mean_second_derivative_central","NDVI_p50__median","NDVI_p50__mean","NDVI_p50__standard_deviation","NDVI_p50__variation_coefficient","NDVI_p50__variance","NDVI_p50__root_mean_square","NDVI_p50__absolute_sum_of_changes","NDVI_p50__maximum","NDVI_p50__minimum","NDVI_p25","NDVI_p50","NDVI_p75","ObservedFraction","yrsincelg","yrsincerct","schist2","schist3"
"Canyon",NA,NA,NA,"2019-07-08",2019,189,NA,NA,1253.3333335,63.289285715,196.464333060672,14.1409622065481,24.5964285714286,1361.46028501675,13.8928571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8000000007143,NA,NA,50.537634413867,19.803246621299,32.5631746664192,"Burn_Streams","Interior","ppt_gw",13.81008947,0,29.95570374,9.353532154,5.630544358,16,219.339269724,"225 SW",0.167652383647609,0.650532491499795,0,1940,0,0,1940,0,0,0,0,89.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.29282682,-146.485,"ppt_gw",0.01,-0.872835965,-0.787211356,-0.724210779,-28.49046155,-9.522876038,20.49480044,32.83,-0.001598178,0.00106376,6.840748306,0.050285762,0.001187269,-0.001264912,0.233345306,0.235887873,0.048140299,0.204081282,0.002317488,0.24075003,1.408001345,0.336909191,0.155321158,0.206049786,0.250985254,0.313530469,1,79,79,0,0
"Caribou_CJ",NA,NA,NA,"0019-07-25",2019,206,6.5,102.7,156.58333335,26.146714285,4.33672749837813,2.81871775976419,21.5571428571429,81.9366377107818,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8395714278571,NA,NA,40.7814612365189,5.9886428422033,7.01942576657059,"Burn_Streams","Interior","ppt_gw",42.63648444,0.027177233,29.57135773,11.29107044,4.469846157,17,148.261417102,"135 SE",0.281755499884731,1.999387030582,0,1940,0,0,1940,0,0,7.93,0,84.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93,65.15267163,-147.491,"ppt_gw",0.06,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,0.221678922,0.247047948,0.295888501,1,79,79,7.93,7.93
"Caribou_Steese",NA,NA,NA,"2019-07-03",2019,184,8.2,153,112.4583333,24.567857145,4.84162130144134,3.35298452468681,31.6571428571429,268.800317946971,0.5,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4.57745796209529,3.4971494140382,"Burn_Streams","Interior","ppt_gw",12.97349163,0.457791299,29.564888,13.34169743,4.909510238,18,189.852386253,"180 SO",0.966373261902611,0.245070330109808,100.28,2019,0.28,0.035891014,2004,100,12.97349163,84.93,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.93,65.2902378,-146.548,"ppt_gw",0.07,-0.923658415,-0.775581737,-0.693646959,-41.49857875,7.483297461,41.50547067,29.63,-0.001212952,0.001394181,5.299293378,0.042747368,-0.00238941,-0.002063431,0.194309328,0.189260478,0.05825423,0.307799234,0.003393555,0.198022938,1.15417894,0.293924631,0.036146371,0.223647232,0.243135649,0.264680085,1,15,0,84.93,84.93
"Cascaden",NA,NA,NA,"2019-07-02",2019,183,12.5,115.6,1657.0833335,48.628571425,4.12517981553042,6.9059901042215,7.19285714285714,258.58400045421,1.03571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3999999964286,NA,NA,41.0169141991705,34.0763317724792,201.381655112847,"Burn_Streams","Interior","ppt_gw",18.59891608,0.172023088,33.00093842,6.858927623,4.059954182,19,134.022306966,"135 SE",0.969729307192297,0.863469374120074,95.85,2010,92.47,17.19762243,2010,92.47,17.19762243,0,0,20.97,0,0,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.38338789,-148.942,"ppt_gw",0.03,-0.824360647,-0.768481191,-0.73896449,-20.4993834,-2.495104997,19.49615622,52.24,-0.003236037,0.001068793,4.78364638,0.034778668,-0.00304858,-0.00122155,0.193370467,0.183986399,0.046164672,0.250913503,0.002131177,0.189689673,0.869466694,0.258833163,0.061514523,0.147479887,0.166998245,0.192365854,1,9,9,0,0
"Chatanika_Elliott",NA,NA,NA,NA,2018,NA,11.9,205.4,236.25,20.65,8.4,3.201,13,359.9,NA,0,50.57313315,23.17896247,289.510613,546.3444516,0.150180216,65.08591944,-147.7197417,NA,NA,NA,1330,NA,NA,NA,NA,NA,NA,11.4406779661017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chena",NA,NA,NA,NA,2018,NA,3.7,274.3,294.8333333,29.65,7,7.6364,17.7,352.2,NA,0.094774294,50.77993498,23.1059773,264.263372,716.7512226,0.06257509,64.88077778,-146.7334583,NA,NA,NA,1730,NA,NA,NA,NA,NA,NA,9.94378864418212,NA,"Burn_Streams","Interior","ppt_gw",3310.345048,0,49.72601318,14.6534364,7.688174094,21,236.130548165,"225 SW",0.325628598718761,1.99149975863759,54.11,2018,0.31,10.4061265,1958,11.94,226.5285416,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.65,64.88119369,-146.723,"ppt_gw",0.08,-1.042866403,-0.840010803,-0.714920242,-44.99345263,-4.98890009,42.99345581,38.49,-8.31e-05,0.000835615,5.417952259,0.036281456,-0.000487715,-0.001995231,0.212896269,0.21671809,0.028904473,0.133373606,0.000835469,0.218637141,0.870754947,0.261690067,0.166024602,0.142590657,0.189459891,0.22850458,0.999956722,60,0,32.65,32.65
"Colorado",NA,NA,NA,"2019-07-01",2019,182,9.7,122.1,266.70833335,14.364285715,6.40848447240008,12.7960837982946,7.46428571428571,192.862090501334,0.785714285714286,0.21575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.114285715,NA,NA,43.6205218044836,18.5674622909713,32.328282830303,"Burn_Streams","Interior","ppt_gw",100.567645,0.073587343,39.40947342,14.25914816,6.967560142,24,189.543956219,"180 SO",0.889643489583914,0.0816160101688608,68.33,1967,5.52,5.548388641,1958,62.55,62.90303131,28.7,0,33.92,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,51.9,64.90924117,-146.642,"ppt_gw",0.06,-0.957248139,-0.777843988,-0.660254855,-43.00180878,-7.027252537,43.00214277,25.24,-0.001932826,0.000911686,7.700195404,0.049286527,-0.003313176,-0.002785089,0.270505565,0.265523979,0.042806799,0.161216321,0.001832422,0.268952423,1.380022748,0.337884593,0.186522733,0.262696798,0.309567898,0.362309528,1,61,52,28.7,51.9
"Cripple",NA,NA,NA,"2019-07-03",2019,184,9,158.1,148.41666665,16.39642857,10.8397032691169,3.51352773976208,12.425,230.183955033214,0.192857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77857142714286,NA,NA,39.2785129278936,9.0517679515619,11.7624304166431,"Burn_Streams","Interior","ppt_gw",31.55695618,0.064262114,34.51337433,13.75922742,5.108002457,25,194.617928897,"180 SO",0.344765955053252,0.305012065789991,108.46,2019,2.22,0.699724564,2004,100,31.55695618,89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2,65.28130916,-146.647,"ppt_gw",0.07,-0.965288477,-0.800921262,-0.675782775,-49.01283982,1.023658409,42.98945876,31.03,-0.001743636,0.001386212,5.401910871,0.041809964,-0.003328584,-0.0017269,0.196312004,0.192925388,0.058807694,0.304820919,0.003458345,0.201689242,1.128869019,0.307578853,0.036126665,0.206055574,0.229504359,0.254879163,1,15,0,89.2,89.2
"Cushman",NA,NA,NA,"2019-07-02",2019,183,7,228.5,214.70833335,18.60357143,5.57075564832313,6.79808400884304,14.6642857142857,221.79583262363,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1892857157143,NA,NA,67.3217618265073,11.5412427209414,13.9291782525487,"Burn_Streams","Interior","ppt_gw",18.16216524,0.05210451,26.37282181,9.485341549,3.829764472,28,175.523781718,"180 SO",0.234289704507745,0.499815472809783,84.84,1971,84.84,15.40945846,1971,84.84,15.40945846,16.2,0,60.02,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,65.15920517,-147.915,"ppt_gw",0.09,-0.881842191,-0.735087023,-0.681960724,-29.52182963,-0.449056682,29.52888819,45.14,-0.000169181,0.000737593,6.865651685,0.0359315,-0.001201773,-0.001367176,0.258830504,0.254283396,0.028755314,0.113083726,0.000826868,0.25590411,0.93421899,0.295875552,0.181153532,0.211932119,0.229512713,0.247071334,1,48,48,16.2,16.2
"Fish",NA,NA,NA,NA,2018,NA,8.4,41,253.0833333,13.55,9.8,5.0749,3.322760434,79.1,NA,0.081163154,57.69090241,10.59008409,48.91313255,95.01962857,NA,66.54326292,-150.795947,NA,NA,NA,1220,NA,NA,NA,NA,NA,NA,18.6777367749077,NA,"Burn_Streams","Interior","ppt_gw",270.3058474,0.028506609,37.19037247,9.606784197,5.45511483,30,329.945693839,"315 NW",0.538165131599347,1.84559776243528,2.48,1990,2.48,6.705406207,1990,2.48,6.705406207,0,6.14,63.81,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,66.5387524,-150.793,"ppt_gw",0.23,-1.019258282,-0.917520356,-0.816358256,-24.99129261,-0.995869493,24.990814,36.89,0.00135913,0.001058942,5.81732268,0.048700753,0.003099488,-0.001687442,0.24511293,0.242388445,0.035645629,0.147059934,0.001270611,0.244995447,1.120117319,0.306651547,0.168933513,0.189494639,0.216789088,0.244121009,0.99999205,28,28,0,0
